regNumber,regStatus,creditCode,estiblishTime,regCapital,companyType,matchType,name,id,orgNumber,legalPersonName,base
441900001564827,存续,91441900065192111M,2013-04-11 00:00:00.0,500万人民币,1,专利信息匹配,东莞市高酷纳米科技有限公司,2318017893,06519211-1,黄建彬,广东
440306103221169,存续,914403007649593770,2004-07-14 00:00:00.0,2500万人民币,1,专利信息匹配,深圳市傲川科技有限公司,382091769,76495937-7,周晖,广东
440300216896132,存续,91440300MA5HD154XJ,2022-06-21 00:00:00.0,5万人民币,1,公司名称匹配,深圳信越导热新材料有限公司,5566296844,MA5HD154-X,邹佳伟,广东
320583000045711,存续,91320500733331093T,2001-12-11 00:00:00.0,32245.1507万人民币,1,专利信息匹配,苏州世名科技股份有限公司,689719704,73333109-3,陆勇,江苏
441900008670092,存续,91441900MA56G4N73H,2021-05-24 00:00:00.0,1000万人民币,1,经营范围匹配,广东鸿祥新材料有限公司,4792685273,MA56G4N7-3,岳祖猛,广东
370500400001069,存续,91370000774151590H,2005-04-21 00:00:00.0,99704.8299万人民币,1,专利信息匹配,山东国瓷功能材料股份有限公司,200909395,77415159-0,张曦,山东
320583002122421,存续,91320583MABN9DLD2R,2022-05-19 00:00:00.0,200万人民币,1,公司名称匹配,昆山佳利品导热材料有限公司,5517538135,MABN9DLD-2,李静静,江苏
130000000005776,存续,91131181700712973X,1997-11-26 00:00:00.0,18000万人民币,1,专利信息匹配,河北亚东化工集团有限公司,465102927,70071297-3,武亚东,河北
450600400002213,存续,91450600591309260X,2012-03-07 00:00:00.0,88739.703329万人民币,1,专利信息匹配,广西长科新材料有限公司,3358810453,59130926-0,陈涛,广西
340523000015563,存续,91340523068065396R,2013-05-03 00:00:00.0,20000万人民币,1,经营范围匹配,安徽同心新材料科技有限公司,3291949124,06806539-6,郭镇宝,安徽
441900014052895,存续,91441900MAEQRTGH3L,2025-07-14 00:00:00.0,200万人民币,1,公司名称匹配,东莞市度邦导热材料科技有限公司,7634565213,MAEQRTGH-3,唐继文,广东
320592000266049,存续,91320592MAK0JPQG18,2025-11-20 00:00:00.0,2500万人民币,1,公司名称匹配,江苏晶烯旺导热材料有限公司,7857616007,MAK0JPQG-1,周忠辉,江苏
440300229786701,存续,91440300MAKFJ88DXP,2026-06-23 00:00:00.0,5万人民币,1,公司名称匹配,深圳鑫垚盛导热科技有限公司,8113829015,MAKFJ88D-X,程建民,广东
440300228952915,存续,91440300MAKBLKK50Q,2026-04-13 00:00:00.0,2万人民币,1,公司名称匹配,深圳德隆添导热材料有限公司,8023117660,MAKBLKK5-0,黄甫,广东
370700228049338,存续,91370700760996891N,2003-09-26 00:00:00.0,5445万人民币,1,专利信息匹配,山东高信化学股份有限公司,2322632771,76099689-1,刘春山,山东
440306102766132,存续,91440300761994249M,2004-05-28 00:00:00.0,5000万人民币,1,专利信息匹配,深圳市安品有机硅材料有限公司,2324059160,76199424-9,丁小卫,广东
310000400638735,存续,91310000564823184X,2010-12-15 00:00:00.0,9226.67万人民币,1,专利信息匹配,惠柏新材料科技（上海）股份有限公司,669244853,56482318-4,杨裕镜,上海
310000000089102,存续,9131000078783207XJ,2006-04-19 00:00:00.0,29115.4857万人民币,1,专利信息匹配,上海晶华胶粘新材料股份有限公司,179469170,78783207-X,周晓南,上海
220213000003140,存续,91220203723133114P,2000-07-13 00:00:00.0,330000万人民币,1,专利信息匹配,吉化集团吉林市星云化工有限公司,198954584,72313311-4,于明杰,吉林
320583000388628,存续,91320583559322828R,2010-07-27 00:00:00.0,1000万人民币,1,历史股东匹配,江苏中迪新材料技术有限公司,3384991529,55932282-8,刘伟德,江苏
