regNumber,regStatus,creditCode,estiblishTime,regCapital,companyType,matchType,name,id,orgNumber,legalPersonName,base
130282000117845,存续,91130282MABR3PGR9F,2022-06-28 00:00:00.0,1000万人民币,1,公司名称匹配,河北鸿宇新型负极材料有限公司,5580135990,MABR3PGR-9,翟浩,河北
440301103394332,存续,914403007230429091,2000-08-07 00:00:00.0,112733.8649万人民币,1,专利信息匹配,贝特瑞新材料集团股份有限公司,3372913783,72304290-9,贺雪琴,广东
431001000028464,存续,91431000MA4L8NNKXX,2016-12-13 00:00:00.0,50000万人民币,1,经营范围匹配,南方石墨新材料有限公司,2944509525,MA4L8NNK-X,何小剑,湖南
410821000016364,存续,9141082109626523X1,2014-03-31 00:00:00.0,847万人民币,1,公司名称匹配,修武县奥凯龙负极材料有限公司,3355401781,09626523-X,韩金龙,河南
441381000301937,存续,91441303MA52QFK91U,2019-01-04 00:00:00.0,10000万人民币,1,专利信息匹配,惠州市鼎元新能源科技有限公司,3290609773,MA52QFK9-1,任建国,广东
410221080749344,存续,91410221MA9G3RJ177,2020-12-02 00:00:00.0,23276.3913万人民币,1,专利信息匹配,开封瑞丰新材料有限公司,4049111595,MA9G3RJ1-7,邱大鹏,河南
410327000024316,存续,91410327MA3XA4R26K,2016-05-24 00:00:00.0,2074.904万人民币,1,专利信息匹配,洛阳联创锂能科技有限公司,2357922164,MA3XA4R2-6,陈志强,河南
430124000184153,存续,91430124MA4RJ9UP2Q,2020-07-28 00:00:00.0,5952.381万人民币,1,专利信息匹配,湖南镕锂新材料科技有限公司,3460458718,MA4RJ9UP-2,湛中魁,湖南
370285230013436,存续,91370285564718376F,2010-11-30 00:00:00.0,2000万人民币,1,专利信息匹配,青岛科硕新材料科技有限公司,2312840825,56471837-6,苏红报,山东
511400000106286,存续,91511400MA647W9G5G,2018-09-10 00:00:00.0,10741.18万人民币,1,专利信息匹配,四川宏瑞得新材料科技有限公司,3225582075,MA647W9G-5,邓季,四川
510600032919172,存续,91510600MA63825L3Y,2017-09-28 00:00:00.0,13277.4242万人民币,1,专利信息匹配,四川金汇能新材料集团股份有限公司,3452742292,MA63825L-3,吴亚平,四川
320481000166685,存续,91320481MA1R94B701,2017-09-30 00:00:00.0,52000万人民币,1,专利信息匹配,溧阳紫宸新材料科技有限公司,3102034047,MA1R94B7-0,刘芳,江苏
150902000032883,存续,91150902341460339K,2015-06-17 00:00:00.0,6005万人民币,1,专利信息匹配,内蒙古三信新材料科技有限公司,2322985538,34146033-9,白金,内蒙古
320482000152532,存续,91320413MA1NAU5H7M,2017-01-16 00:00:00.0,82500万人民币,1,经营范围匹配,贝特瑞（江苏）新材料科技有限公司,2989097513,MA1NAU5H-7,杨顺毅,江苏
370163200067617,存续,91370100MAK32K474D,2025-12-05 00:00:00.0,10000万人民币,1,公司名称匹配,山东负极新材料有限公司,7878628432,MAK32K47-4,窦玮,山东
140781010150027,存续,91140781MA0KCB7051,2019-01-02 00:00:00.0,50000万人民币,1,经营范围匹配,山西福马炭材料科技有限公司,3288796119,MA0KCB70-5,郑德,山西
370283230067676,存续,91370283334109428C,2015-05-21 00:00:00.0,5000万人民币,1,专利信息匹配,青岛泰东瑞新能源材料有限公司,2311041547,33410942-8,李鑫,山东
330212000120723,存续,91330212750379507M,2003-07-07 00:00:00.0,280000万人民币,1,专利信息匹配,宁波杉杉新材料科技有限公司,945534600,75037950-7,乔永民,浙江
130423031676149,存续,91130423MA7L4JYT6G,2022-03-22 00:00:00.0,10102万人民币,1,经营范围匹配,邯郸时代新能源材料有限公司,5420883931,MA7L4JYT-6,张宾,河北
370783200095817,存续,913707833492892064,2015-08-17 00:00:00.0,3150万人民币,1,经营范围匹配,山东中科五和新能源材料科技有限公司,1652168065,34928920-6,张君楠,山东
