regNumber,regStatus,creditCode,estiblishTime,regCapital,companyType,matchType,name,id,orgNumber,legalPersonName,base
441900005459698,存续,91441900MA526C8Y2Q,2018-08-24 00:00:00.0,500万人民币,1,经营范围匹配,东莞市美之电新材料有限公司,3223487109,MA526C8Y-2,潘志红,广东
440111000044433,存续,91440101788929367Q,2006-06-09 00:00:00.0,2000万人民币,1,历史名称匹配,广州信粤新材料科技有限公司,3276264362,78892936-7,李文霞,广东
440681001113783,存续,91440606MA51JF2551,2018-04-13 00:00:00.0,500万人民币,1,专利信息匹配,佛山市新铂桥电子有限公司,3176255420,MA51JF25-5,侯云霞,广东
440301104039463,存续,91440300689430800R,2009-05-26 00:00:00.0,2000万人民币,1,经营范围匹配,深圳市劲华电子材料有限公司,531689483,68943080-0,邱建华,广东
441900004535009,存续,91441900MA511EWN27,2017-11-17 00:00:00.0,2140.0587万人民币,1,专利信息匹配,东莞市佳迪新材料有限公司,3119014389,MA511EWN-2,吴小平,广东
371400200042874,存续,9137140049445831X5,2014-06-17 00:00:00.0,6000万人民币,1,专利信息匹配,山东晨旭新材料股份有限公司,2310378631,49445831-X,徐广敏,山东
330481000001322,存续,91330481743495884K,2002-10-11 00:00:00.0,6000万人民币,1,专利信息匹配,浙江科峰有机硅股份有限公司,2352026238,74349588-4,李云峰,浙江
441900007253987,存续,91441900MA54NBA17F,2020-05-15 00:00:00.0,1000万人民币,1,专利信息匹配,广东鼎泰新材料科技有限公司,3435439310,MA54NBA1-7,黄华利,广东
370635228042975,存续,91370600746569906J,2003-01-23 00:00:00.0,14224万人民币,1,专利信息匹配,烟台德邦科技股份有限公司,1428342684,74656990-6,解海华,山东
441900001876945,存续,91441900095627139H,2014-03-19 00:00:00.0,200万人民币,1,经营范围匹配,东莞市汇来复合材料科技有限公司,2325349399,09562713-9,黄龙,广东
441900002437362,存续,91441900338035382E,2015-04-20 00:00:00.0,100万人民币,1,经营范围匹配,东莞市小川新材料有限公司,2357852253,33803538-2,李杰光,广东
440301112945370,存续,91440300342602749T,2015-05-25 00:00:00.0,50万人民币,1,经营范围匹配,深圳市英思博特实业有限公司,678795153,34260274-9,钟阳法,广东
330182400000095,存续,91330182MA28XNXY95,2017-09-07 00:00:00.0,3500万人民币,1,专利信息匹配,浙江励德有机硅材料有限公司,3092967616,MA28XNXY-9,吴严明,浙江
320400400028395,存续,913204115571374696,2010-06-25 00:00:00.0,9411.718万人民币,1,专利信息匹配,天永诚高分子材料（江苏）股份有限公司,2350730803,55713746-9,陈伟清,江苏
442000000578545,存续,91442000592122879G,2012-03-06 00:00:00.0,1630.6176万人民币,1,专利信息匹配,广东鼎立森新材料股份有限公司,3091209513,59212287-9,李彪,广东
310000400270018,存续,9131011470336007XK,2001-07-06 00:00:00.0,2827.0817万人民币,1,经营范围匹配,惠展电子材料（上海）有限公司,669244687,70336007-X,杨裕镜,上海
211102000017340,存续,912111023188043918,2015-06-29 00:00:00.0,600万人民币,1,经营范围匹配,盘锦易立凯泰新材料有限公司,2360137063,31880439-1,李丽,辽宁
330185000102471,存续,91330185088876380Y,2014-01-15 00:00:00.0,1000万人民币,1,经营范围匹配,杭州临安鸿日有机硅材料有限公司,3105221945,08887638-0,金文洪,浙江
370983200050421,存续,91370983MA3CGA4DX1,2016-09-05 00:00:00.0,2000万人民币,1,专利信息匹配,山东格润高分子材料有限公司,2409551310,MA3CGA4D-X,李鹏,山东
430281000041778,存续,914302810966028733,2014-04-03 00:00:00.0,1500万人民币,1,专利信息匹配,京渌新材料（湖南）有限公司,3010880639,09660287-3,陈丹,湖南
