regNumber,regStatus,creditCode,estiblishTime,regCapital,companyType,matchType,name,id,orgNumber,legalPersonName,base
610131100010324,存续,91610131797461321M,2007-02-14 00:00:00.0,6000万人民币,1,公司名称匹配,西安宏星电子浆料科技股份有限公司,3337106983,79746132-1,王大林,陕西
430200000014695,存续,91430200670780325A,2008-02-20 00:00:00.0,5312万人民币,1,公司名称匹配,湖南利德电子浆料股份有限公司,422657650,67078032-5,宁文敏,湖南
310000400123990,存续,91310000607322655P,1995-10-04 00:00:00.0,20000万日元,1,公司名称匹配,上海住矿电子浆料有限公司,415862100,60732265-5,迎居浩昭（MUKAI HIROAKI）,上海
441900400113944,存续,9144190078386770XK,2005-12-31 00:00:00.0,14000万日元,1,公司名称匹配,东莞住矿电子浆料有限公司,415861316,78386770-X,和气理一郎,广东
440306104183239,存续,914403006925122417,2009-07-29 00:00:00.0,50万人民币,1,公司名称匹配,深圳市赛雅电子浆料有限公司,1323048771,69251224-1,郭志强,广东
441900005100123,存续,91441900MA51P3GY13,2018-05-16 00:00:00.0,50万人民币,1,公司名称匹配,东莞市东济电子浆料有限公司,3193020103,MA51P3GY-1,陶成刚,广东
310114003081162,存续,91310114MA1GTBKY76,2016-05-10 00:00:00.0,3000万人民币,1,经营范围匹配,上海晶材新材料科技有限公司,2404172312,MA1GTBKY-7,王建祥,上海
330196000018825,存续,91330106571470137C,2011-04-08 00:00:00.0,5350.393万人民币,1,专利信息匹配,杭州正银电子材料有限公司,275558798,57147013-7,杨华,浙江
310115000872567,存续,91310000770230822U,2004-12-28 00:00:00.0,3571.4283万人民币,1,经营范围匹配,上海匡宇科技股份有限公司,2350670603,77023082-2,杨建平,上海
330105000179623,存续,913301107434678400,2002-09-25 00:00:00.0,2180万人民币,1,经营范围匹配,杭州得力科技股份有限公司,2350685119,74346784-0,沈良,浙江
310105000417410,存续,91310107051295590B,2012-08-17 00:00:00.0,3714.9万人民币,1,专利信息匹配,上海银浆科技股份有限公司,2995385944,05129559-0,王亮,上海
440300207170352,存续,91440300MA5FMD7J5H,2019-05-27 00:00:00.0,2183.844611万人民币,1,专利信息匹配,深圳市哈深智材科技有限公司,3408553271,MA5FMD7J-5,赵维巍,广东
441900002793936,存续,91441900MA4UKAC8XW,2015-12-02 00:00:00.0,645.161万人民币,1,专利信息匹配,东莞珂洛赫慕电子材料科技有限公司,2328177728,MA4UKAC8-X,黄德伟,广东
441900400058539,存续,91441900618335769E,1994-03-31 00:00:00.0,5680.8003万人民币,1,经营范围匹配,东莞索特电子材料有限公司,2314318496,61833576-9,史卫利,广东
441900008753253,存续,91441900MA56LH7X7C,2021-06-18 00:00:00.0,-,1,公司名称匹配,西安宏星电子浆料科技股份有限公司东莞分公司,5001899795,MA56LH7X-7,王大林,广东
440307103575100,存续,914403007432490428,2002-11-11 00:00:00.0,10993.1668万人民币,1,经营范围匹配,深圳市深赛尔股份有限公司,825266825,74324904-2,刘国民,广东
610113100010309,存续,91610113570216268R,2011-03-31 00:00:00.0,260万人民币,1,经营范围匹配,西安亿佰电子科技有限公司,2371903871,57021626-8,张雷,陕西
431381000007808,存续,9143138168030068XH,2008-09-12 00:00:00.0,2000万人民币,1,经营范围匹配,冷水江市汇鑫电子陶瓷有限公司,805473577,68030068-X,刘颂辉,湖南
310112000758627,存续,91310112660796542P,2007-04-29 00:00:00.0,500万人民币,1,经营范围匹配,上海玖银电子科技有限公司,662314527,66079654-2,丰勇,上海
440306106102914,存续,914403005930350725,2012-03-27 00:00:00.0,7800万人民币,1,经营范围匹配,深圳市固电电子有限公司,2320484974,59303507-2,黄智勤,广东
