regNumber,regStatus,creditCode,estiblishTime,regCapital,companyType,matchType,name,id,orgNumber,legalPersonName,base
440111000044433,存续,91440101788929367Q,2006-06-09 00:00:00.0,2000万人民币,1,历史名称匹配,广州信粤新材料科技有限公司,3276264362,78892936-7,李文霞,广东
370724228020110,存续,91370724737201966T,2001-05-25 00:00:00.0,10112万人民币,1,专利信息匹配,山东永安胶业有限公司,490800049,73720196-6,赵洪千,山东
330400400013915,存续,91330400754908023P,2003-11-06 00:00:00.0,600万美元,1,公司名称匹配,浙江芬齐涂料密封胶有限公司,79003227,75490802-3,Stefano Pozzi,浙江
130101000001448,存续,9113010075026091X7,2003-05-22 00:00:00.0,12871.516万人民币,1,经营范围匹配,河北方大新材料股份有限公司,2350677053,75026091-X,杨志,河北
370700200024067,存续,91370700059021105N,2012-12-07 00:00:00.0,2000万人民币,1,专利信息匹配,山东飞度胶业科技股份有限公司,2321005693,05902110-5,丁大宏,山东
441900000015782,存续,91441900754542252D,2003-09-28 00:00:00.0,13250万人民币,1,专利信息匹配,广东普赛达材料科技股份有限公司,444395158,75454225-2,任绍志,广东
370282228059942,存续,91370282797548806T,2007-04-06 00:00:00.0,300万人民币,1,公司名称匹配,青岛顺集密封胶有限公司,145719359,79754880-6,方世军,山东
410199100010424,存续,9141010017005479X0,2003-01-26 00:00:00.0,8000万人民币,1,微信公众号匹配,郑州中原思蓝德高科股份有限公司,2943694389,17005479-X,张敬轩,河南
331004000317199,存续,91331004MA2HHN1402,2020-08-06 00:00:00.0,3000万人民币,1,经营范围匹配,浙江天吉密封材料有限责任公司,3462920340,MA2HHN14-0,赵兵,浙江
330508000085510,存续,91330501MA28CGLW2M,2016-10-21 00:00:00.0,11518万人民币,1,专利信息匹配,浙江国能科技有限公司,3211072910,MA28CGLW-2,宋志国,浙江
440306109871056,存续,914403003985812971,2014-07-16 00:00:00.0,100万人民币,1,公司名称匹配,深圳耐力佳密封胶技术有限公司,2318263962,39858129-7,潘东炎,广东
440121000044219,存续,9144011476190205X4,2004-04-22 00:00:00.0,40000万人民币,1,专利信息匹配,广州回天新材料有限公司,2353252956,76190205-X,史襄桥,广东
371322200037831,存续,91371322MA3EN59A3B,2017-10-13 00:00:00.0,2000万人民币,1,专利信息匹配,山东三佳聚合高分子材料有限公司,3105349835,MA3EN59A-3,司成友,山东
330182000026844,存续,913301825743966300,2009-07-22 00:00:00.0,-,1,公司名称匹配,浙江新安化工集团股份有限公司硅酮密封胶厂,382251882,57439663-0,方侠,浙江
350500100034702,存续,9135050066280186XC,2007-05-23 00:00:00.0,2500万人民币,1,专利信息匹配,福建省昌德胶业科技有限公司,2320452180,66280186-X,吴培煌,福建
320621000093208,在业,913206217365361665,2002-04-09 00:00:00.0,1658万人民币,1,专利信息匹配,南通市开泰高分子材料有限公司,2328206183,73653616-6,王升宏,江苏
620000000018654,存续,9162000005311823XD,2012-09-13 00:00:00.0,8200万人民币,1,经营范围匹配,西北永新涂料有限公司,237216704,05311823-X,李华明,甘肃
440681400010391,存续,9144060677016495XJ,2004-12-27 00:00:00.0,3440万港元,1,专利信息匹配,广东长鹿精细化工有限公司,463502917,77016495-X,刘桂琼,广东
370681600262466,存续,92370681MA3KAGR278,2011-07-08 00:00:00.0,-,1,公司名称匹配,龙口市七甲煜泰密封胶厂,2324652866,MA3KAGR2-7,张洪鹏,山东
371329200015000,存续,91371329MA3CAPYM20,2014-11-24 00:00:00.0,5000万人民币,1,经营范围匹配,山东光汉新材料有限公司,2329150361,MA3CAPYM-2,李运光,山东
