regNumber,regStatus,creditCode,estiblishTime,regCapital,companyType,matchType,name,id,orgNumber,legalPersonName,base
310000400268943,存续,9131000060743258XR,2001-06-28 00:00:00.0,300万美元,1,公司名称匹配,贝科工业涂料（上海）有限公司,2342145199,60743258-X,侯佳佳,上海
131082400043873,存续,9113108267322544XE,2008-04-22 00:00:00.0,3609.674307万人民币,1,公司名称匹配,三河亮克威泽工业涂料有限公司,446362768,67322544-X,苏荣,河北
440110400000938,存续,91440115679701216E,2008-09-20 00:00:00.0,800万美元,1,公司名称匹配,庞贝捷工业涂料（广州）有限公司,3399818161,67970121-6,聂笑冰,广东
440681400005168,存续,91440606721112221P,2000-04-10 00:00:00.0,375.1181万美元,1,公司名称匹配,威士伯工业涂料（广东）有限公司,2342400466,72111222-1,TAN CHIA HIN,广东
341124000059481,存续,91341124MA2RK6UR2A,2018-03-22 00:00:00.0,5000万人民币,1,公司名称匹配,全椒亮克威泽工业涂料有限公司,3166759471,MA2RK6UR-2,刘海华,安徽
120116000393639,存续,91120116MA05K34477,2015-09-02 00:00:00.0,5000万人民币,1,公司名称匹配,天津海丰工业涂料有限公司,735772576,MA05K344-7,赵国青,天津
440108400009876,存续,91440116757755990Q,2003-12-30 00:00:00.0,2409万港元,1,公司名称匹配,贝格工业涂料（广州）有限公司,1641024975,75775599-0,"Benoit,Jean,Giraud",广东
440233000029522,存续,91440233MA55P5YM7X,2020-12-14 00:00:00.0,1000万人民币,1,公司名称匹配,泰华工业涂料（广东）有限公司,4079643832,MA55P5YM-7,张肃,广东
310000400639797,存续,91310000566538993R,2010-12-29 00:00:00.0,3188万美元,1,公司名称匹配,立邦工业涂料（上海）有限公司,1202513968,56653899-3,周奇成,上海
310229000685895,存续,91310118744944450K,2002-11-27 00:00:00.0,3000万人民币,1,公司名称匹配,上海赫玛工业涂料有限公司,543833089,74494445-0,陈胜,上海
320407000049246,存续,91320411251075066W,1992-07-15 00:00:00.0,1282万人民币,1,历史名称匹配,江苏足迹科创园管理服务有限公司,2320298682,25107506-6,蒋国强,江苏
120118000716680,存续,91120118MABPFRKB2K,2022-06-06 00:00:00.0,5000万人民币,1,公司名称匹配,虹嘉工业涂料有限公司,5541831237,MABPFRKB-2,李时彦,江苏
340800400007350,存续,91340800MA2T7LBD9J,2018-11-09 00:00:00.0,1500万美元,1,股东信息匹配,安徽登王化工有限公司,3272080278,MA2T7LBD-9,王铭达,安徽
370523200026715,存续,91370523312616103T,2014-08-26 00:00:00.0,3000万人民币,1,历史名称匹配,山东昱邦科涂料有限公司,2326625223,31261610-3,魏志华,山东
340122000062371,存续,9134012258724912XL,2011-12-15 00:00:00.0,5180万人民币,1,专利信息匹配,安徽凤凰涂料科技有限公司,366289971,58724912-X,李学全,安徽
320100000002990,存续,913201007245845231,1990-12-21 00:00:00.0,11923万人民币,1,专利信息匹配,南京长江涂料有限公司,2336624065,72458452-3,张卫中,江苏
320404000032178,存续,913204041373567023,2001-08-21 00:00:00.0,510万人民币,1,历史名称匹配,常州市君迪晟科技有限公司,2320442905,13735670-2,严和宽,江苏
120116000087237,存续,911201167803373089,2005-11-15 00:00:00.0,10000万人民币,1,公司名称匹配,天津灯塔涂料工业发展有限公司,230823403,78033730-8,唐智谋,天津
320582400000462,存续,91320582757317616F,2004-01-12 00:00:00.0,1000万美元,1,经营范围匹配,三和涂料（张家港）有限公司,2316067995,75731761-6,朴世準（PARK SE JOON）,江苏
320584400004913,存续,91320509778017575Q,2005-10-25 00:00:00.0,600万美元,1,公司名称匹配,苏州永立涂料工业有限公司,2348908053,77801757-5,王铭达,江苏
